refcode,natoms,heavy_rmsd
,80,0.7257796935601726
,100,0.3422721256090628
,62,1.8253366139360734
,70,1.5867832687451706
,50,1.4136096337384134
,17,0.18092139167947624
,41,0.17374879529173362
,42,0.39647770339664745
,18,0.2812872906084875
,37,2.5655335564191417
,69,0.8197661091814693
,77,0.5072749415002781
,80,0.42051878441438
,107,1.5583832509133058
,53,1.0839300592747765
,55,0.25098285436523815
,53,0.2321329398405594
,90,2.3475008617718136
,71,1.9564556512393316
,41,0.12989923515455817
,61,1.3024895286818383
,29,0.6530243419928732
,62,0.3391104283196558
,41,1.1451375259544951
,44,0.08164030299322253
,61,1.4121816365080007
,36,0.1923997363935748
,104,0.6101793471295276
,68,0.3128131085459896
,74,0.6801335346055248
,27,0.8012008508974711
,39,0.7592511373790943
,74,0.29532403867134716
,98,0.6837422354150055
,51,0.7926472315478463
,80,0.8842735677412441
,45,0.4569304925463915
,71,0.3289743830942275
,113,1.0766591622098118
,57,0.11756018701146027
,47,0.3104754779565756
,54,0.5122578175493631
,70,0.9698597526875268
,83,0.5219951920651138
,59,0.2848719044193681
,62,1.1590103357188242
,54,2.245008682007205
,84,0.622096449802272
,60,0.8477796741653495
,47,0.8232868443802452
,39,0.16640004513117637
,38,0.1772407812110879
,30,0.05675670074740202
,30,0.5271107623787836
,71,0.9251978741976552
,56,1.2240355780159056
,39,0.9447978537152201
,57,0.13757219281744235
,79,1.3329086501382228
,34,0.3342750013966138
,123,0.22698752012961518
,45,0.13523182989336546
,44,0.24855229299752887
,91,0.2113562891798161
,77,0.1978068795619241
,49,0.19614977558564028
,83,0.6317542360880427
,41,0.3129515699697833
,57,0.6153903034538148
,55,0.33225505632177366
,43,0.38067883995298
,59,0.9734748881776918
,90,0.2992382629589387
,61,0.43215410147002364
,34,0.14164279420914083
,65,0.25987787129988155
,79,0.36622344604318935
,73,0.18378104243285706
,97,1.029902988051643
,32,2.237376089245192
,46,1.0509693761519536
,37,0.11343043025779444
,91,0.5535772136586344
,89,2.2830915459183174
,77,0.6382560182987947
,47,0.753939244295417
,21,0.04935691391647336
,61,0.24560618002456716
,33,0.07830381864314875
,43,0.15952737258870958
,83,0.5167545504820715
,102,2.216798988490686
,75,0.5087463364999799
,100,1.5102686439569177
,104,0.4472383296022748
,88,3.329002620123479
,60,0.2587413276051905
,107,2.315427610867751
,117,0.3525634084987355
,81,0.6446814596876745
,60,2.0486821550596184
,56,1.3877000131086397
,79,1.1409734356668213
,82,0.9218923302851019
,76,0.46289876501003235
,41,0.4611676004560745
,63,0.38955589321822087
,73,1.4227203018476333
,75,0.23145201966472492
,68,0.5610892045830573
,25,0.07962806503393224
,43,2.7400310009118285
,65,2.1465928217138766
,22,0.11078873034726276
,95,1.5597925401089505
,40,0.12124295901981533
,58,0.4242685902598248
,83,1.0063876714829045
,64,0.36594155262584915
,39,0.06944651743348872
,36,0.5213919002469597
,30,1.1515140372142698
,40,0.4049267273654036
,98,0.15954461996293487
,63,0.4511126140813973
,87,0.375450312841611
,81,0.7701790153243724
,34,0.4034648681024967
,77,0.5036827158245913
,68,0.9294433859114811
,102,0.9743105340344366
,72,1.8633273622926134
,53,0.4014533604756777
,63,0.7118272282456337
,102,0.9004873678466964
,69,0.37489871713734757
,75,0.5558893226780162
,77,0.1933199555341946
,53,0.397003739397679
,52,0.1818851206837795
,57,0.6908377926149144
,67,0.437519571505369
,54,0.07541071174986602
,39,0.23836319966732014
,75,1.897659269165237
