reaction_id,enzyme,step_type,ref_value,calculated_value,error,abs_error,atoms_count
DMML_RE1,DMML,RE,-0.847,0.4497784576859239,1.2967784576859238,1.2967784576859238,96
DMML_RE3,DMML,RE,65.056,63.74818284147653,-1.30781715852347,1.30781715852347,96
DMML_RE4,DMML,RE,-9.166,-1.904793838956241,7.261206161043759,7.261206161043759,96
DMML_RE5,DMML,RE,-31.746,-29.987845321103528,1.7581546788964708,1.7581546788964708,96
DMML_RE6,DMML,RE,24.144,-32.825984947052845,-56.96998494705284,56.96998494705284,96
CDO_1RE1,CDO,RE,-1.168,-1.20757240079216,-0.03957240079216007,0.03957240079216007,81
CDO_1RE2,CDO,RE,-52.083,-54.65104671557492,-2.5680467155749227,2.5680467155749227,81
CDO_3RE1,CDO,RE,-2.643,0.523983082936013,3.166983082936013,3.166983082936013,81
CDO_3RE4,CDO,RE,-77.322,-76.17868874066627,1.1433112593337285,1.1433112593337285,81
CDO_5RE1,CDO,RE,-43.307,-18.889677304121307,24.417322695878696,24.417322695878696,81
CDO_5RE2,CDO,RE,-67.762,-63.790684682802286,3.971315317197714,3.971315317197714,81
CDO_5RE3,CDO,RE,-10.277,-13.601354471167971,-3.324354471167972,3.324354471167972,81
CDO_5RE4,CDO,RE,-1.082,-1.054827933503221,0.027172066496779168,0.027172066496779168,81
CoNHase_RE1,CoNHase,RE,28.103,27.295638967621297,-0.8073610323787044,0.8073610323787044,116
CoNHase_RE2,CoNHase,RE,-27.574,-31.52851568717111,-3.95451568717111,3.95451568717111,116
CoNHase_RE3,CoNHase,RE,8.371,7.871101237910086,-0.4998987620899147,0.4998987620899147,116
NiSOD_1RE4,NiSOD,RE,8.043,9.189169393816275,1.146169393816276,1.146169393816276,59
NiSOD_3RE4,NiSOD,RE,25.44,-4.534776856165421,-29.974776856165423,29.974776856165423,59
NiSOD_3BH4,NiSOD,BH,27.773,30.1936793521398,2.4206793521398,2.4206793521398,59
NiSOD_3RBH4,NiSOD,BH,2.333,-34.72845620830522,-37.061456208305216,37.061456208305216,59
Hc_1RE1,Hc,RE,-26.506,-11.374958975742398,15.131041024257602,15.131041024257602,58
Hc_1RE2,Hc,RE,-9.933,0.2591927838761207,10.19219278387612,10.19219278387612,58
Hc_3RE1,Hc,RE,6.954,-18.1866715929608,-25.1406715929608,25.1406715929608,58
Hc_3RE2,Hc,RE,-6.035,-2.031007955097238,4.003992044902763,4.003992044902763,58
Hc_3BH1,Hc,BH,5.229,-8.197403692797058,-13.42640369279706,13.42640369279706,58
Hc_3BH2,Hc,BH,4.165,-0.9881972925854661,-5.153197292585466,5.153197292585466,58
AAP_RE2,AAP,RE,4.139,4.716113306610096,0.5771133066100962,0.5771133066100962,82
AAP_RE3,AAP,RE,0.723,1.0246229242092169,0.3016229242092169,0.3016229242092169,82
AAP_RE4,AAP,RE,0.739,0.9230803036869841,0.18408030368698414,0.18408030368698414,82
AAP_RE5,AAP,RE,-3.412,-5.164582387768264,-1.752582387768264,1.752582387768264,82
AAP_BH1,AAP,BH,8.797,7.955759414027599,-0.8412405859724013,0.8412405859724013,82
AAP_BH3,AAP,BH,2.339,2.39665021060921,0.05765021060920983,0.05765021060920983,82
AAP_BH4,AAP,BH,1.706,2.019240675296118,0.3132406752961181,0.3132406752961181,82
AAP_BH5,AAP,BH,1.483,0.829848914727065,-0.6531510852729351,0.6531510852729351,82
PTE_RE1,PTE,RE,2.492,4.413338543785845,1.9213385437858452,1.9213385437858452,82
PTE_BH1,PTE,BH,6.652,7.648772824284045,0.9967728242840446,0.9967728242840446,82
PTE_BH2,PTE,BH,8.302,8.490741173419794,0.18874117341979435,0.18874117341979435,82
AH_RE1,AH,RE,-8.459,12.64646613251513,21.10546613251513,21.10546613251513,116
AH_RE2,AH,RE,9.954,-13.815272556297538,-23.769272556297537,23.769272556297537,116
AH_RE3,AH,RE,-22.538,-20.022577952746154,2.515422047253846,2.515422047253846,116
AH_RE4,AH,RE,-2.685,-13.676716010548326,-10.991716010548325,10.991716010548325,116
AH_RE5,AH,RE,-3.418,2.635365920524584,6.053365920524584,6.053365920524584,116
AH_BH2,AH,BH,16.709,-3.249814579387191,-19.95881457938719,19.95881457938719,116
AH_BH3,AH,BH,14.66,-7.28135319786608,-21.94135319786608,21.94135319786608,116
AH_BH4,AH,BH,8.501,-0.11461773421347546,-8.615617734213474,8.615617734213474,116
AH_BH5,AH,BH,17.105,56.65132392664713,39.54632392664713,39.54632392664713,116
WFOR_RE1,WFOR,RE,-3.21,11.395253069456697,14.605253069456698,14.605253069456698,101
WFOR_RE2,WFOR,RE,-14.939,-56.22870301690595,-41.28970301690595,41.28970301690595,101
WFOR_BH1,WFOR,BH,14.272,17.354271485122574,3.0822714851225737,3.0822714851225737,101
WFOR_BH2,WFOR,BH,19.699,15.487419451654434,-4.211580548345568,4.211580548345568,101
MoCuCODH_RE1,MoCuCODH,RE,10.721,-2.9660617204776414,-13.687061720477642,13.687061720477642,89
MoCuCODH_RE2,MoCuCODH,RE,-5.793,-12.646310729139563,-6.8533107291395625,6.8533107291395625,89
MoCuCODH_RE3,MoCuCODH,RE,-2.63,-10.226014419213701,-7.596014419213701,7.596014419213701,89
MoCuCODH_RE4,MoCuCODH,RE,5.881,7.099258773410171,1.218258773410171,1.218258773410171,89
MoCuCODH_RE5,MoCuCODH,RE,1.8,-10.53546551569932,-12.33546551569932,12.33546551569932,89
